2024-07-02 23:19:40,738 [Worker-55] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-07-02 23:19:40,741 [Worker-55] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-07-02 23:19:40,742 [Worker-55] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-07-02 23:19:40,744 [Worker-55] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\user\OneDrive\Escritorio\LPII_CL3_BARAZORDAASTETEPABLO\ExamenCL3BarazordaAstetePablo\src\test\resources
2024-07-02 23:19:46,640 [Worker-55] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-07-02 23:19:46,642 [Worker-55] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-07-02 23:19:46,643 [Worker-55] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-07-02 23:19:46,644 [Worker-55] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\user\OneDrive\Escritorio\LPII_CL3_BARAZORDAASTETEPABLO\ExamenCL3BarazordaAstetePablo\src\test\resources
2024-07-02 23:20:04,563 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-07-02 23:20:04,566 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-07-02 23:20:04,569 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-07-02 23:20:04,570 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\user\OneDrive\Escritorio\LPII_CL3_BARAZORDAASTETEPABLO\ExamenCL3BarazordaAstetePablo\src\test\resources
2024-07-02 23:20:17,051 [Worker-55] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-07-02 23:20:17,053 [Worker-55] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-07-02 23:20:17,054 [Worker-55] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-07-02 23:20:17,055 [Worker-55] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\user\OneDrive\Escritorio\LPII_CL3_BARAZORDAASTETEPABLO\ExamenCL3BarazordaAstetePablo\src\test\resources
2024-07-02 23:24:53,883 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-07-02 23:24:53,885 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-07-02 23:24:53,886 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-07-02 23:24:53,887 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\user\OneDrive\Escritorio\LPII_CL3_BARAZORDAASTETEPABLO\ExamenCL3BarazordaAstetePablo\src\test\resources
2024-07-02 23:28:03,576 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-07-02 23:28:03,579 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-07-02 23:28:03,584 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-07-02 23:28:03,587 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\user\OneDrive\Escritorio\LPII_CL3_BARAZORDAASTETEPABLO\ExamenCL3BarazordaAstetePablo\src\test\resources
2024-07-02 23:29:28,041 [Worker-60] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-07-02 23:29:28,045 [Worker-60] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-07-02 23:29:28,046 [Worker-60] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-07-02 23:29:28,048 [Worker-60] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\user\OneDrive\Escritorio\LPII_CL3_BARAZORDAASTETEPABLO\ExamenCL3BarazordaAstetePablo\src\test\resources
2024-07-02 23:31:38,820 [Worker-59] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-07-02 23:31:38,822 [Worker-59] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-07-02 23:31:38,823 [Worker-59] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-07-02 23:31:38,824 [Worker-59] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\user\OneDrive\Escritorio\LPII_CL3_BARAZORDAASTETEPABLO\ExamenCL3BarazordaAstetePablo\src\test\resources
2024-07-02 23:35:24,225 [Worker-59] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2024-07-02 23:35:31,466 [Worker-59] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: jpa.cibertec:ExamenCL3BarazordaAstetePablo:0.0.1-SNAPSHOT @ C:\Users\user\OneDrive\Escritorio\LPII_CL3_BARAZORDAASTETEPABLO\ExamenCL3BarazordaAstetePablo\pom.xml.
2024-07-02 23:35:36,888 [Worker-59] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ExamenCL3BarazordaAstetePablo/src/main/java
2024-07-02 23:35:36,889 [Worker-59] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /ExamenCL3BarazordaAstetePablo/src/main/resources
2024-07-02 23:35:36,890 [Worker-59] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ExamenCL3BarazordaAstetePablo/src/test/java
2024-07-02 23:35:38,247 [Worker-59] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for ExamenCL3BarazordaAstetePablo
2024-07-02 23:35:38,262 [Worker-59] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 14 sec
2024-07-02 23:35:38,813 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-07-02 23:35:38,815 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-07-02 23:35:38,816 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-07-02 23:35:38,817 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\user\OneDrive\Escritorio\LPII_CL3_BARAZORDAASTETEPABLO\ExamenCL3BarazordaAstetePablo\src\test\resources
2024-07-02 23:35:38,817 [Worker-54] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of ExamenCL3BarazordaAstetePablo
2024-07-02 23:35:38,817 [Worker-54] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for ExamenCL3BarazordaAstetePablo
2024-07-02 23:35:38,821 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-07-02 23:35:39,076 [Worker-60] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-07-02 23:35:39,078 [Worker-60] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-07-02 23:35:39,079 [Worker-60] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-07-02 23:35:39,080 [Worker-60] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\user\OneDrive\Escritorio\LPII_CL3_BARAZORDAASTETEPABLO\ExamenCL3BarazordaAstetePablo\src\test\resources
2024-07-02 23:41:22,886 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-07-02 23:41:22,896 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-07-02 23:41:22,899 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-07-02 23:41:22,900 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\user\OneDrive\Escritorio\LPII_CL3_BARAZORDAASTETEPABLO\ExamenCL3BarazordaAstetePablo\src\test\resources
2024-07-02 23:41:33,630 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-07-02 23:41:33,645 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-07-02 23:41:33,646 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-07-02 23:41:33,647 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\user\OneDrive\Escritorio\LPII_CL3_BARAZORDAASTETEPABLO\ExamenCL3BarazordaAstetePablo\src\test\resources
2024-07-02 23:43:41,642 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-07-02 23:43:41,643 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-07-02 23:43:41,645 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-07-02 23:43:41,646 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\user\OneDrive\Escritorio\LPII_CL3_BARAZORDAASTETEPABLO\ExamenCL3BarazordaAstetePablo\src\test\resources
2024-07-02 23:43:59,439 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-07-02 23:43:59,441 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-07-02 23:43:59,442 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-07-02 23:43:59,443 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\user\OneDrive\Escritorio\LPII_CL3_BARAZORDAASTETEPABLO\ExamenCL3BarazordaAstetePablo\src\test\resources
2024-07-02 23:44:16,118 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-07-02 23:44:16,120 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-07-02 23:44:16,121 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-07-02 23:44:16,122 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\user\OneDrive\Escritorio\LPII_CL3_BARAZORDAASTETEPABLO\ExamenCL3BarazordaAstetePablo\src\test\resources
